city,date,temp_mean,humidity_mean,pressure_mean,wind_mean,temp_max,wind_max,mu_canicule,mu_froid,mu_vent,mu_pluie,mu_depression,mu_extreme,event_extreme,type_event
Agadir,2015-07-16,22.47583333333335,70.70833333333333,1013.6666666666666,2.5,28.5,6.0,0.590909090909085,0.0,0.0,0.0,1.0,0.590909090909085,1,canicule
Tetouan,2015-06-29,22.61505071175002,63.541666666666664,1015.0,1.7083333333333333,30.860000000000014,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1,canicule
Tetouan,2017-01-26,5.365416666666692,86.25,1030.2916666666667,1.2916666666666667,8.57000000000005,2.0,0.0,0.4456001568283761,0.0,0.0,0.0,0.4456001568283761,0,normal
Rabat,2016-03-11,13.949986271166688,83.625,1018.125,4.25,16.510000000000048,8.0,0.0,0.0,1.0,0.0,1.0,1.0,1,vent_fort
Rabat,2017-05-09,17.69041666666669,80.66666666666667,1014.3333333333334,2.2916666666666665,27.0,7.0,0.2809917355371826,0.0,0.5,0.0,1.0,0.5,1,vent_fort
Tetouan,2016-12-07,-0.4668923183333125,80.83333333333333,1025.4166666666667,1.9166666666666667,5.2900000000000205,10.0,0.0,1.0,1.0,0.0,0.0,1.0,1,vague_froid
Rabat,2013-02-17,12.752083333333353,65.16666666666667,1022.6666666666666,0.625,19.83000000000004,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,normal
Rabat,2013-10-08,15.037607638875029,69.45833333333333,1015.875,1.0833333333333333,23.840000000000032,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0,normal
Tetouan,2017-10-18,11.756250000000014,91.91666666666667,1017.0,2.5416666666666665,17.360000000000014,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0,normal
Rabat,2013-07-13,16.585000000000026,90.66666666666667,1013.7916666666666,1.1666666666666667,22.840000000000032,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0,normal
Tetouan,2017-03-13,11.654885194708358,80.58333333333333,1021.0833333333334,3.6666666666666665,16.57000000000005,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0,normal
Tetouan,2016-12-01,6.108750000000022,82.375,1025.125,1.2916666666666667,9.0,3.0,0.0,0.30845220386151445,0.0,0.0,0.0,0.30845220386151445,0,normal
Rabat,2015-10-10,19.16990776808336,85.70833333333333,1015.875,4.541666666666667,26.243421126000044,9.0,0.12467378636363714,0.0,1.0,0.0,1.0,1.0,1,vent_fort
Rabat,2016-05-28,20.830242344708356,63.833333333333336,1010.0416666666666,2.6666666666666665,29.24000000000001,7.0,0.7438016528925587,0.0,0.5,0.32972972972973796,1.0,0.7438016528925587,1,canicule
Tanger,2014-05-15,19.988500000000027,47.291666666666664,1017.625,0.8333333333333334,26.730000000000018,3.0,0.22520661157024394,0.0,0.0,0.0,1.0,0.22520661157024394,0,normal
Tanger,2016-02-28,8.636223223458353,87.70833333333333,1016.25,2.875,12.490000000000009,7.0,0.0,0.0,0.5,0.0,1.0,0.5,1,vent_fort
Casablanca,2015-06-17,17.564166666666683,65.20833333333333,1017.375,3.75,22.400000000000034,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0,normal
Tanger,2015-05-11,14.420395833333359,67.625,1028.5,1.5833333333333333,18.65100000000001,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,normal
Tanger,2016-10-31,9.621208333333355,99.75,1006.1666666666666,2.0416666666666665,12.007000000000005,4.0,0.0,0.0,0.0,0.8324324324324381,1.0,0.8324324324324381,1,forte_pluie
Tanger,2017-09-25,15.777916666666684,74.375,1019.3333333333334,2.0,21.80000000000001,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0,normal
Casablanca,2012-12-05,8.018125000000024,83.33333333333333,991.3125,2.0833333333333335,10.970000000000027,5.0,0.0,0.0,0.0,1.0,1.0,1.0,1,forte_pluie
Tanger,2015-12-21,4.351181817583357,91.54166666666667,1001.4583333333334,3.7916666666666665,5.560000000000002,6.0,0.0,0.6327305156347895,0.0,1.0,1.0,1.0,1,forte_pluie
